iter	Passed	Remaining
399	47766	35824
400	47896	35713
401	48007	35587
402	48131	35471
403	48274	35369
404	48399	35254
405	48529	35142
406	48633	35011
407	48771	34905
408	48900	34792
409	49056	34698
410	49185	34585
411	49288	34453
412	49383	34317
413	49543	34225
414	49731	34152
415	49869	34045
416	49990	33926
417	50091	33793
418	50218	33679
419	50310	33540
420	50471	33447
421	50599	33333
422	50735	33223
423	50822	33082
424	50949	32967
425	51045	32832
426	51146	32700
427	51264	32579
428	51400	32469
429	51474	32321
430	51630	32224
431	51751	32105
432	51844	31968
433	51970	31853
434	52112	31746
435	52243	31633
436	52365	31514
437	52499	31403
438	52600	31272
439	52729	31158
440	52858	31044
441	52983	30926
442	53086	30797
443	53239	30696
444	53352	30572
445	53485	30460
446	53595	30334
447	53742	30230
448	53868	30113
449	54041	30023
450	54098	29868
451	54236	29758
452	54409	29666
453	54553	29559
454	54675	29440
455	54768	29306
456	54879	29180
457	55060	29093
458	55158	28961
459	55297	28850
460	55427	28735
461	55576	28630
462	55732	28528
463	55815	28388
464	56010	28306
465	56156	28198
466	56269	28074
467	56383	27950
468	56495	27826
469	56620	27707
470	56746	27589
471	56900	27486
472	57039	27374
473	57124	27236
474	57245	27116
475	57382	27003
476	57497	26880
477	57628	26764
478	57761	26649
479	57868	26522
480	57890	26357
481	58034	26248
482	58148	26124
483	58262	26001
484	58343	25863
485	58432	25729
486	58554	25609
487	58667	25486
488	58803	25373
489	58945	25262
490	59103	25158
491	59254	25050
492	59353	24921
493	59495	24809
494	59614	24688
495	59730	24566
496	59891	24462
497	60034	24351
498	60129	24220
499	60222	24089
500	60363	23976
501	60502	23863
502	60558	23717
503	60667	23592
504	60814	23482
505	60917	23355
506	61055	23242
507	61142	23108
508	61215	22970
509	61310	22841
510	61423	22718
511	61527	22592
512	61621	22462
513	61765	22350
514	61868	22224
515	61961	22094
516	62085	21976
517	62217	21860
518	62250	21709
519	62393	21597
520	62504	21474
521	62676	21372
522	62790	21250
523	62937	21139
524	63020	21006
525	63165	20894
526	63303	20780
527	63439	20665
528	63572	20549
529	63743	20445
530	63863	20325
531	63997	20209
532	64118	20089
533	64253	19973
534	64412	19865
535	64539	19747
536	64653	19624
537	64765	19501
538	64919	19391
539	65054	19275
540	65184	19157
541	65359	19053
542	65457	18926
543	65540	18794
544	65577	18650
545	65686	18526
546	65831	18413
547	66000	18306
548	66114	18184
549	66215	18058
550	66348	17941
551	66492	17827
552	66607	17705
553	66713	17581
554	66866	17469
555	66976	17346
556	67057	17215
557	67244	17112
558	67364	16991
559	67537	16884
560	67731	16781
561	67885	16669
562	68014	16550
563	68099	16421
564	68234	16303
565	68363	16184
566	68478	16062
567	68607	15943
568	68767	15832
569	68953	15726
570	69031	15595
571	69092	15461
572	69241	15346

573	69712	15302
574	69801	15174
575	69919	15052
576	70071	14937
577	70214	14820
578	70340	14699
579	70465	14579
580	70654	14471
581	70787	14352
582	69686	13985
583	71111	14124
584	71281	14012
585	71458	13901
586	71599	13783
587	71741	13665
588	71922	13554
589	72070	13436
590	72213	13318
591	72376	13203
592	70896	12792
593	70987	12667
594	71148	12555
595	71254	12433
596	71344	12308
597	71441	12185
598	71542	12063
599	71615	11935
600	71687	11808
601	71759	11681
602	71803	11550
603	71870	11423
604	71911	11291
605	71949	11160
606	71975	11027
607	71995	10894
608	72018	10761
609	72035	10628
610	72052	10495
611	72067	10362
612	72082	10230
613	72098	10098
9751	11170
614	79884	11040
615	79983	10906
616	80082	10772
617	80180	10638
618	80256	10502
619	80312	10362

621	75638	9485
622	75774	9365
623	75952	9250
624	76083	9130
625	76264	9015
626	76392	8894
627	76508	8771
628	76630	8649
629	76731	8525
630	76852	8403
631	76972	8281
