iter	RMSE
415	1571.762406
416	1570.678422
417	1570.080402
418	1568.946972
419	1567.81523
420	1567.242895
421	1566.581907
422	1565.56532
423	1564.391381
424	1563.465711
425	1562.139985
426	1561.220494
427	1560.439889
428	1559.602377
429	1558.835103
430	1558.28099
431	1557.09417
432	1555.631114
433	1554.381014
434	1553.661071
435	1552.996287
436	1551.903318
437	1550.692203
438	1550.044268
439	1549.072282
440	1548.003919
441	1547.174032
442	1546.276565
443	1545.469076
444	1544.628151
445	1543.927798
446	1542.924759
447	1541.985172
448	1541.243235
449	1540.476813
450	1539.599664
451	1539.054403
452	1538.300466
453	1537.773247
454	1536.765398
455	1535.875968
456	1535.206224
457	1534.705452
458	1533.688891
459	1532.775625
460	1531.480893
461	1530.455856
462	1529.640687
463	1528.638615
464	1527.857408
465	1526.886269
466	1525.6715
467	1525.021425
468	1524.219014
469	1523.440446
470	1522.577899
471	1521.623661
472	1521.137224
473	1520.596987
474	1519.79146
475	1519.215269
476	1518.380466
477	1517.325099
478	1516.346618
479	1515.865865
480	1515.814428
481	1514.591388
482	1513.584669
483	1513.192229
484	1512.196451
485	1511.161579
486	1510.770658
487	1509.889527
488	1509.332266
489	1508.697512
490	1508.093119
491	1507.561584
492	1506.675671
493	1505.842683
494	1505.288351
495	1504.828421
496	1503.929555
497	1503.33366
498	1502.414363
499	1502.002672
500	1501.176522
501	1500.636689
502	1500.598635
503	1499.93882
504	1499.47363
505	1499.266068
506	1498.309907
507	1497.629159
508	1496.682191
509	1496.157704
510	1495.46423
511	1494.360684
512	1493.760134
513	1493.124599
514	1492.834505
515	1492.296885
516	1491.506955
517	1490.61196
518	1490.472597
519	1490.042002
520	1489.774085
521	1489.234581
522	1488.785077
523	1488.279219
524	1487.291385
525	1486.866474
526	1485.951031
527	1485.168993
528	1484.385838
529	1483.404935
530	1482.705259
531	1482.379585
532	1481.715345
533	1481.43997
534	1480.94625
535	1480.568951
536	1479.862743
537	1479.151851
538	1478.552547
539	1477.610963
540	1477.333584
541	1476.625867
542	1476.397447
543	1475.864752
544	1475.829694
545	1475.025283
546	1474.663716
547	1474.374592
548	1473.795856
549	1473.106767
550	1472.488447
551	1471.518772
552	1471.193004
553	1470.600879
554	1469.781418
555	1469.173447
556	1468.88144
557	1468.099491
558	1467.52034
559	1466.527412
560	1466.074044
561	1465.580518
562	1465.33586
563	1464.558995
564	1464.14005
565	1463.554334
566	1463.135265
567	1462.7526
568	1462.464372
569	1461.868067
570	1461.500496
571	1460.821303
572	1460.194778
8
573	1472.592868
574	1471.901062
575	1471.275916
576	1470.891273
577	1470.619302
578	1469.854338
579	1469.089899
580	1468.475864
581	1468.101777
582	1467.405428
583	1466.665283
584	1466.111949
585	1465.622675
586	1465.134069
586	1466.438531
587	1465.786442
588	1465.081003
589	1464.853837
590	1464.08836
591	1463.500536
593	1462.205949
594	1461.964645
595	1461.233433
596	1460.69048
597	1460.191004
598	1459.290644
599	1459.100426
600	1458.431388
601	1458.254373
602	1457.587514
603	1456.944583
604	1456.657553
605	1455.767503
606	1455.127205
607	1454.808566
608	1454.401707
609	1454.072154
610	1453.603781
611	1453.323925
612	1453.02745
613	1452.462681
614	1464.092843
615	1463.606574
616	1463.305155
617	1462.828511
618	1462.410983
619	1461.968086
77237
620	1441.922412
621	1441.598385
622	1441.078316
623	1440.426616
624	1439.65803
625	1439.024977
626	1438.303153
627	1438.07468
628	1437.862073
629	1437.387455
630	1437.093187
631	1436.71336
632	1436.177144
633	1435.577385
634	1435.356553
635	1434.752503
636	1433.948608
637	1433.436949
638	1432.950367
9	1445.726059
640	1445.116673
641	1444.549594
331
641	1438.061881
642	1437.686468
643	1437.065015
644	1436.899923
645	1436.381288
646	1435.821663
647	1435.375814
648	1434.996348
649	1434.476382
650	1434.175197
651	1433.903865652	1433.2602165653	1432.93680655	1436.55078
65655	1431.8375765656	1431.48176658	1435.005059
6658	1430.3004826659	1429.818562661	1433.348574
662	1432.66328
663	1432.263992
664	1431.858669
4
664	1427.528775
665	1426.749585
666	1426.702882
667	1426.043554
668	1425.529709
669	1425.186546
6397
671	1426.646284
672	1426.095506
673	1425.249811
674	1424.659024
675	1424.353211
676	1423.890352
677	1423.574735
678	1423.087535
679	1422.49888
680	1421.725377
681	1421.228437
682	1420.798857
